,precision,recall,thresholds
0,0.15495207667731628,1.0,0.0007820778992027044
1,0.1552,1.0,0.0007825575885362923
2,0.15544871794871795,1.0,0.0008015083149075508
3,0.15569823434991975,1.0,0.001005565281957388
4,0.15594855305466238,1.0,0.0011042550904676318
5,0.15619967793880837,1.0,0.0011097763199359179
6,0.15645161290322582,1.0,0.0011446565622463822
7,0.1567043618739903,1.0,0.0011807633563876152
8,0.156957928802589,1.0,0.0011902626138180494
9,0.15721231766612642,1.0,0.00128841248806566
10,0.15746753246753248,1.0,0.0012932694517076015
11,0.15772357723577235,1.0,0.0012948143994435668
12,0.15798045602605862,1.0,0.00130253448151052
13,0.15823817292006526,1.0,0.0013666923623532057
14,0.15849673202614378,1.0,0.00142080953810364
15,0.15875613747954173,1.0,0.0014365441165864468
16,0.15901639344262294,1.0,0.0014760139165446162
17,0.1592775041050903,1.0,0.0014852865133434534
18,0.15953947368421054,1.0,0.001486424938775599
19,0.15980230642504117,1.0,0.0015676238108426332
20,0.16006600660066006,1.0,0.0015841977437958121
21,0.16033057851239668,1.0,0.0015861010178923607
22,0.1605960264900662,1.0,0.001601127558387816
23,0.16086235489220563,1.0,0.0016198486555367708
24,0.1611295681063123,1.0,0.0017102062702178955
25,0.16139767054908485,1.0,0.001807179767638445
26,0.16166666666666665,1.0,0.001839443459175527
27,0.16193656093489148,1.0,0.0018536689458414912
28,0.16220735785953178,1.0,0.0018769223242998123
29,0.1624790619765494,1.0,0.0018793178023770452
30,0.16275167785234898,1.0,0.0019058046163991094
31,0.16302521008403362,1.0,0.00192715460434556
32,0.1632996632996633,1.0,0.0019324300810694695
33,0.163575042158516,1.0,0.001938513247296214
34,0.16385135135135134,1.0,0.0020386609248816967
35,0.16412859560067683,1.0,0.0020605146419256926
36,0.16440677966101694,1.0,0.002081476617604494
37,0.16468590831918506,1.0,0.0021117848809808493
38,0.1649659863945578,1.0,0.0022283620201051235
39,0.16524701873935263,1.0,0.002249234588816762
40,0.16552901023890784,1.0,0.002294431673362851
41,0.1658119658119658,1.0,0.0023081221152096987
42,0.1660958904109589,1.0,0.002347035799175501
43,0.16638078902229847,1.0,0.0023593890946358442
44,0.16666666666666666,1.0,0.0024184081703424454
45,0.16695352839931152,1.0,0.0024618159513920546
46,0.16724137931034483,1.0,0.00249432772397995
47,0.16753022452504318,1.0,0.0025709732435643673
48,0.16782006920415224,1.0,0.002582566812634468
49,0.1681109185441941,1.0,0.002596986247226596
50,0.1684027777777778,1.0,0.0026242737658321857
51,0.16869565217391305,1.0,0.002633501775562763
52,0.16898954703832753,1.0,0.0026354340370744467
53,0.16928446771378708,1.0,0.0026722855400294065
54,0.16958041958041958,1.0,0.0026767458766698837
55,0.16987740805604204,1.0,0.0027113365940749645
56,0.17017543859649123,1.0,0.00272375694476068
57,0.1704745166959578,1.0,0.0027336187195032835
58,0.17077464788732394,1.0,0.0027490847278386354
59,0.1710758377425044,1.0,0.0027940578293055296
60,0.17137809187279152,1.0,0.002828853903338313
61,0.17168141592920355,1.0,0.0028400158043950796
62,0.17198581560283688,1.0,0.0029239794239401817
63,0.17229129662522202,1.0,0.002939101541414857
64,0.17259786476868327,1.0,0.0029566248413175344
65,0.17290552584670232,1.0,0.0029712796676903963
66,0.1732142857142857,1.0,0.0029784133657813072
67,0.1735241502683363,1.0,0.0029810541309416294
68,0.17383512544802868,1.0,0.0029885079711675644
69,0.1741472172351885,1.0,0.0029993581119924784
70,0.17446043165467626,1.0,0.003021918935701251
71,0.17477477477477477,1.0,0.003122643567621708
72,0.17509025270758122,1.0,0.0031711782794445753
73,0.17540687160940324,1.0,0.0031843462493270636
74,0.17572463768115942,1.0,0.0032380709890276194
75,0.17604355716878403,1.0,0.0032892581075429916
76,0.17636363636363636,1.0,0.0033385977149009705
77,0.1766848816029144,1.0,0.003348272992298007
78,0.177007299270073,1.0,0.003348594531416893
79,0.1773308957952468,1.0,0.0033545084297657013
80,0.17765567765567766,1.0,0.00335830170661211
81,0.1779816513761468,1.0,0.003359433263540268
82,0.17830882352941177,1.0,0.003379901871085167
83,0.17863720073664824,1.0,0.0033892227802425623
84,0.17896678966789667,1.0,0.003511363174766302
85,0.17929759704251386,1.0,0.003531678346917033
86,0.17962962962962964,1.0,0.0035660280846059322
87,0.17996289424860853,1.0,0.0035725978668779135
88,0.18029739776951673,1.0,0.0036387001164257526
89,0.18063314711359404,1.0,0.003651655511930585
90,0.18097014925373134,1.0,0.0036958681885153055
91,0.18130841121495328,1.0,0.0037368065677583218
92,0.18164794007490637,1.0,0.0037541722413152456
93,0.18198874296435272,1.0,0.0037740543484687805
94,0.18233082706766918,1.0,0.0038185168523341417
95,0.18267419962335216,1.0,0.003836466930806637
96,0.1830188679245283,1.0,0.0038433067966252565
97,0.1833648393194707,1.0,0.0038512656465172768
98,0.18371212121212122,1.0,0.003860547672957182
99,0.1840607210626186,1.0,0.0038792474661022425
100,0.1844106463878327,1.0,0.003889841726049781
101,0.18476190476190477,1.0,0.003943761810660362
102,0.1851145038167939,1.0,0.00398187106475234
103,0.18546845124282982,1.0,0.0039925663731992245
104,0.18582375478927204,1.0,0.004036900121718645
105,0.18618042226487524,1.0,0.004039285704493523
106,0.18653846153846154,1.0,0.00406797556206584
107,0.18689788053949905,1.0,0.004138302989304066
108,0.18725868725868725,1.0,0.0041646696627140045
109,0.18762088974854932,1.0,0.004214751534163952
110,0.187984496124031,1.0,0.004222132731229067
111,0.1883495145631068,1.0,0.0042308177798986435
112,0.188715953307393,1.0,0.004316109698265791
113,0.18908382066276802,1.0,0.004335404839366674
114,0.189453125,1.0,0.00439801812171936
115,0.1898238747553816,1.0,0.0044049764983356
116,0.19019607843137254,1.0,0.004432014189660549
117,0.1905697445972495,1.0,0.00444946950301528
118,0.19094488188976377,1.0,0.0044731213711202145
119,0.1913214990138067,1.0,0.004476067144423723
120,0.191699604743083,1.0,0.0045225610956549644
121,0.19207920792079208,1.0,0.004677576012909412
122,0.19246031746031747,1.0,0.0046881018206477165
123,0.19284294234592445,1.0,0.0047097960487008095
124,0.19322709163346613,1.0,0.004766577854752541
125,0.1936127744510978,1.0,0.0047690486535429955
126,0.194,1.0,0.004783437121659517
127,0.19438877755511022,1.0,0.004807089455425739
128,0.19477911646586346,1.0,0.004908798262476921
129,0.19517102615694165,1.0,0.004927364178001881
130,0.19556451612903225,1.0,0.004961381200700998
131,0.19595959595959597,1.0,0.004971386399120092
132,0.19635627530364372,1.0,0.0050021326169371605
133,0.19675456389452334,1.0,0.005025358870625496
134,0.19715447154471544,1.0,0.005048740189522505
135,0.1975560081466395,1.0,0.005094012711197138
136,0.19795918367346937,1.0,0.005133115220814943
137,0.1983640081799591,1.0,0.005138126201927662
138,0.1987704918032787,1.0,0.005179518833756447
139,0.19917864476386038,1.0,0.0052443863824009895
140,0.19958847736625515,1.0,0.005281844642013311
141,0.2,1.0,0.005302211735397577
142,0.20041322314049587,1.0,0.005307492800056934
143,0.20082815734989648,1.0,0.0053113107569515705
